REF_AREA;Coğrafi Kapsam;FREQ;Gözlem Sıklığı;INDICATOR;İstatistiksel Gösterge;AY;Ay (DESC);YAKIT_TUR;Yakıt Türü;UNIT_MEASURE;Ölçü Birimi;Zaman (TIME_PERIOD);Gözlem;DONUSUM;Zaman Serisi Dönüşümü;ZAMAN_BICIMI;Zaman Formatı;UNIT_MULT;Birim Çarpanı;CONF_STATUS;Gizlilik Durumu;GOZLEM_DURUMU;Gözlem Durumu;ONDALIK;Ondalık Basamak Sayısı
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;_T;Toplam;PT;Yüzde;2026-01;100;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;_T;Toplam;PT;Yüzde;2025-01;100;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;_T;Toplam;PT;Yüzde;2024-01;100;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;_T;Toplam;PT;Yüzde;2023-01;100;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;_T;Toplam;PT;Yüzde;2022-01;100;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;_T;Toplam;PT;Yüzde;2021-01;100;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;_T;Toplam;PT;Yüzde;2020-01;100;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;_T;Toplam;PT;Yüzde;2019-01;100;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;_T;Toplam;PT;Yüzde;2018-01;100;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;_T;Toplam;PT;Yüzde;2017-01;100;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;_T;Toplam;PT;Yüzde;2016-01;100;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;_T;Toplam;PT;Yüzde;2015-01;100;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;_T;Toplam;PT;Yüzde;2014-01;100;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;_T;Toplam;PT;Yüzde;2013-01;100;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;_T;Toplam;PT;Yüzde;2012-01;100;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;_T;Toplam;PT;Yüzde;2011-01;100;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;_T;Toplam;PT;Yüzde;2010-01;100;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;_T;Toplam;PT;Yüzde;2009-01;100;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;_T;Toplam;PT;Yüzde;2008-01;100;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;_T;Toplam;PT;Yüzde;2007-01;100;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;_T;Toplam;PT;Yüzde;2006-01;100;;;;;;;;;;;;
