year,date,fuel_type,stock,total_stock,share
2005,2005-12-01,Benzinli,3883101.0,5772745.0,0.6726610997021347
2005,2005-12-01,Bilinmeyen,235700.0,5772745.0,0.04082979587700479
2005,2005-12-01,Dizel,394617.0,5772745.0,0.06835864047346626
2005,2005-12-01,LPG,1259327.0,5772745.0,0.21815046394739418
2006,2006-12-01,Benzinli,3838598.0,6140992.0,0.6250778375871521
2006,2006-12-01,Bilinmeyen,195810.0,6140992.0,0.03188572790845518
2006,2006-12-01,Dizel,583794.0,6140992.0,0.09506509697456046
2006,2006-12-01,LPG,1522790.0,6140992.0,0.2479713375298323
2007,2007-12-01,Benzinli,3714973.0,6472156.0,0.573993117594817
2007,2007-12-01,Bilinmeyen,167111.0,6472156.0,0.025819989505815374
2007,2007-12-01,Dizel,763946.0,6472156.0,0.11803578282105685
2007,2007-12-01,LPG,1826126.0,6472156.0,0.28215111007831084
2008,2008-12-01,Benzinli,3531763.0,6796629.0,0.5196345129328083
2008,2008-12-01,Bilinmeyen,102478.0,6796629.0,0.015077768699748067
2008,2008-12-01,Dizel,947727.0,6796629.0,0.13944074334497292
2008,2008-12-01,LPG,2214661.0,6796629.0,0.3258469750224707
2009,2009-12-01,Benzinli,3373875.0,7093964.0,0.4755979872466226
2009,2009-12-01,Bilinmeyen,82818.0,7093964.0,0.011674431953700357
2009,2009-12-01,Dizel,1111822.0,7093964.0,0.15672788866704143
2009,2009-12-01,LPG,2525449.0,7093964.0,0.3559996921326356
2010,2010-12-01,Benzinli,3191964.0,7544871.0,0.42306409214948804
2010,2010-12-01,Bilinmeyen,71242.0,7544871.0,0.009442441096739758
2010,2010-12-01,Dizel,1381631.0,7544871.0,0.18312188505277294
2010,2010-12-01,LPG,2900034.0,7544871.0,0.3843715817009993
2011,2011-12-01,Benzinli,3036129.0,8113111.0,0.3742250044403435
2011,2011-12-01,Bilinmeyen,61613.0,8113111.0,0.0075942508367012355
2011,2011-12-01,Dizel,1756034.0,8113111.0,0.21644397568331064
2011,2011-12-01,Elektrik,47.0,8113111.0,5.793092193611058e-06
2011,2011-12-01,LPG,3259288.0,8113111.0,0.401730975947451
2012,2012-12-01,Benzinli,2929216.0,8648875.0,0.338681736063939
2012,2012-12-01,Bilinmeyen,49082.0,8648875.0,0.005674957725715773
2012,2012-12-01,Dizel,2101206.0,8648875.0,0.2429455854085069
2012,2012-12-01,Elektrik,175.0,8648875.0,2.0233845442326313e-05
2012,2012-12-01,Hibrit,53.0,8648875.0,6.12796461967597e-06
2012,2012-12-01,LPG,3569143.0,8648875.0,0.41267135899177637
2013,2013-12-01,Benzinli,2888610.0,9283923.0,0.311141098434358
2013,2013-12-01,Bilinmeyen,45332.0,9283923.0,0.004882849631562002
2013,2013-12-01,Dizel,2497209.0,9283923.0,0.2689820887140059
2013,2013-12-01,Elektrik,353.0,9283923.0,3.802271949045678e-05
2013,2013-12-01,Hibrit,83.0,9283923.0,8.940186169144229e-06
2013,2013-12-01,LPG,3852336.0,9283923.0,0.4149470003144145
2014,2014-12-01,Benzinli,2855078.0,9857915.0,0.2896229070751777
2014,2014-12-01,Bilinmeyen,42697.0,9857915.0,0.004331240429644606
2014,2014-12-01,Dizel,2882885.0,9857915.0,0.29244368611415295
2014,2014-12-01,Elektrik,412.0,9857915.0,4.179382759944674e-05
2014,2014-12-01,Hibrit,113.0,9857915.0,1.1462870191110392e-05
2014,2014-12-01,LPG,4076730.0,9857915.0,0.4135489096832342
2015,2015-12-01,Benzinli,2927720.0,10589337.0,0.2764781213403634
2015,2015-12-01,Bilinmeyen,42733.0,10589337.0,0.004035474553317171
2015,2015-12-01,Dizel,3345951.0,10589337.0,0.3159736062795999
2015,2015-12-01,Elektrik,565.0,10589337.0,5.335555946514876e-05
2015,2015-12-01,Hibrit,324.0,10589337.0,3.059681640125345e-05
2015,2015-12-01,LPG,4272044.0,10589337.0,0.40342884545085306
